Employee ID,Name,Contact Number,Start Date,End Date,Location,Working Mode,Hours,Stipend,College,Degree,Email,Bank Name,Branch Name,Account Holder Name,Account Number,Account Type,IFSC Code,MICR Code,Bank Address,UPI ID,Offer Letter Sent,Offer Letter Signed,Form Filled,LinkedIn Post,LinkedIn Follow,Instagram Follow,Google Review,Certificate Issued,LOR Issued,Document Date,Planning to Study Abroad,Year,Department,Role
HW0018,Advika Chaudhari,8571261792,11-07-2024,17-08-2024,Mumbai,Hybrid,30,12182,IIT Bombay,B.Sc,cbains@yahoo.com,HDFC,Kanpur,Advika Chaudhari,62656276035,Current,HDFC3483856,747444357,"36/006, Bhat Zila, Gulbarga 785240",advika7064@upi,0,0,1,0,0,1,1,0,1,24-04-2025,No,2025,Data Science,Intern
HW0019,Adira Trivedi,7911852668,18-06-2024,,Pune,Hybrid,30,14428,IIT Bombay,B.Sc,kavyadube@bhatti.com,Bank of Baroda,Durg,Adira Trivedi,90420815670,Savings,BANK7000643,495646279,"69/211, Chakraborty Zila, Amroha-142764",adira4028@upi,1,0,1,0,1,0,1,1,1,25-04-2025,No,2024,Marketing,Associate
HW0020,Ranbir Sandal,6091485507,31-12-2024,20-02-2025,Pune,Hybrid,20,19697,Mumbai University,MCA,devancharvi@hotmail.com,Kotak Mahindra,Avadi,Ranbir Sandal,45077943017,Current,KOTA1936769,532771487,"61/13, Sharaf Nagar, Narasaraopet 606277",ranbir4066@upi,0,1,0,0,0,0,0,1,0,06-05-2025,Yes,2024,Marketing,Intern
HW0021,Raghav Venkataraman,6403103486,30-03-2025,,Pune,Onsite,40,13247,Mumbai University,B.Sc,samarthissac@hotmail.com,Bank of Baroda,Thoothukudi,Raghav Venkataraman,75547991167,Current,BANK4518464,525479684,"534, Rout Marg, Erode 461284",raghav6655@upi,1,0,1,1,1,1,0,1,1,26-02-2025,No,2025,Marketing,Analyst
HW0022,Ritvik Mahal,7100683272,20-04-2025,,Chennai,Remote,40,18224,BITS Pilani,BCA,trishaseshadri@goda.com,SBI,Ghaziabad,Ritvik Mahal,84294922930,Savings,SBI3117044,147782164,"405, Bose Circle, Dindigul-071979",ritvik7591@upi,0,1,1,1,0,1,1,0,1,07-03-2025,Yes,2023,Development,Trainee
HW0023,Chirag Ghosh,6935762010,02-06-2025,,Mumbai,Onsite,20,18821,NIT Trichy,MBA,divyanshdevan@gmail.com,Kotak Mahindra,Dehradun,Chirag Ghosh,35070663748,Current,KOTA3212250,726019327,"70/38, Krishnamurthy Nagar, Bharatpur 031193",chirag5342@upi,1,1,1,0,1,1,1,1,1,01-02-2025,No,2023,Development,Associate
HW0024,Saksham Tak,7517217534,03-12-2024,,Delhi,Onsite,20,21666,NIT Trichy,M.Tech,sahilkanda@yahoo.com,Bank of Baroda,Hapur,Saksham Tak,17755165276,Savings,BANK2729982,406210510,"31/962, Barman, Tiruppur-575585",saksham7217@upi,0,0,0,1,1,1,1,1,0,26-04-2025,Yes,2023,Data Science,Trainee
HW0025,Ojas Lad,7893939001,02-12-2024,18-01-2025,Hyderabad,Remote,30,7298,IIT Bombay,B.Sc,pranayreddy@mand.com,HDFC,Tirunelveli,Ojas Lad,41803250795,Savings,HDFC9725498,5893731,"26/88, Sarraf Nagar, Singrauli 196526",ojas1381@upi,1,1,1,0,1,1,0,0,1,18-05-2025,Yes,2025,Development,Intern
HW0026,Sumer Mann,7640167657,11-06-2024,04-08-2024,Delhi,Remote,30,13283,BITS Pilani,M.Tech,subramanianmehul@srivastava.biz,SBI,Panchkula,Sumer Mann,11547085502,Savings,SBI9640433,674668862,"11/16, Chand Zila, Kulti-758641",sumer3476@upi,1,1,1,1,0,0,0,1,0,11-01-2025,Yes,2025,Marketing,Intern
HW0027,Zeeshan Lanka,9839389167,04-09-2024,,Chennai,Remote,40,11495,Mumbai University,MBA,odhar@chaudhari-kanda.com,Bank of Baroda,Patna,Zeeshan Lanka,44136605269,Savings,BANK1625519,884934855,"H.No. 51, Garg Street, Jorhat 370377",zeeshan4866@upi,0,0,1,0,1,0,1,0,0,05-02-2025,No,2025,Data Science,Associate
HW0028,Saksham Bhatt,6667784210,31-03-2025,,Bangalore,Remote,20,9766,BITS Pilani,BCA,ela25@dugal-basu.com,Kotak Mahindra,Thoothukudi,Saksham Bhatt,46616890162,Current,KOTA7886693,64542262,"09, Goel Path, Ambarnath 951789",saksham5236@upi,0,0,0,0,1,1,1,1,1,20-03-2025,No,2025,Design,Analyst
HW0029,Ishita Varkey,9526037576,01-11-2024,,Pune,Remote,20,15310,Anna University,MCA,pchakrabarti@hotmail.com,Axis,Hajipur,Ishita Varkey,93821904622,Current,AXIS5392860,205780153,"43, Kari Ganj, Suryapet-202924",ishita1252@upi,1,1,1,0,0,1,1,1,0,20-03-2025,Yes,2025,HR,Trainee
HW0030,Siya Dey,7236312672,14-06-2024,,Mumbai,Hybrid,20,24200,Mumbai University,B.Tech,indransgoda@hotmail.com,Axis,Ludhiana,Siya Dey,32535470061,Savings,AXIS9926815,868352211,"22, Bawa Street, Hindupur 187673",siya2030@upi,1,1,0,1,1,0,0,1,0,22-04-2025,No,2025,Development,Trainee
HW0031,Khushi Mangal,8662977093,11-08-2024,,Bangalore,Remote,20,14030,Mumbai University,MCA,osoni@jain.org,ICICI,Aligarh,Khushi Mangal,70931335015,Current,ICIC6588286,85877100,"H.No. 94, Madan Zila, Asansol-001939",khushi7150@upi,0,1,0,1,1,0,0,0,0,17-03-2025,No,2024,Design,Analyst
HW0032,Tiya Bala,9651512538,01-05-2025,25-06-2025,Mumbai,Remote,40,19329,Delhi University,BCA,bansallavanya@yahoo.com,HDFC,Kumbakonam,Tiya Bala,21447906767,Savings,HDFC3701048,344256305,"496, Chadha Ganj, Durg-394199",tiya6178@upi,0,1,0,1,0,0,0,0,1,02-01-2025,No,2024,Marketing,Intern
HW0033,Anay Malhotra,9576597627,25-02-2025,,Hyderabad,Hybrid,20,14086,IIT Bombay,BCA,ryanchauhan@yahoo.com,ICICI,Dindigul,Anay Malhotra,10435268978,Savings,ICIC6676887,771539055,"H.No. 24, Sidhu Circle, Gurgaon-668577",anay9722@upi,0,1,0,1,1,1,1,0,1,30-03-2025,Yes,2024,Finance,Associate
HW0034,Divij Randhawa,9780179721,11-07-2024,,Delhi,Hybrid,20,7046,NIT Trichy,BCA,anya02@hotmail.com,HDFC,Maheshtala,Divij Randhawa,80929402989,Current,HDFC4310380,522288908,"42/591, Chanda Circle, Thiruvananthapuram 744885",divij1915@upi,1,1,0,0,0,0,0,1,0,14-01-2025,No,2023,Finance,Trainee
HW0035,Trisha Sibal,9471745971,08-09-2024,28-11-2024,Hyderabad,Remote,30,20452,NIT Trichy,B.Sc,dishani28@kapur.org,SBI,Davanagere,Trisha Sibal,62767809121,Savings,SBI3496190,999785982,"19, Choudhury Marg, Serampore-889867",trisha5500@upi,0,1,0,0,0,1,0,1,1,27-02-2025,Yes,2025,Design,Intern
HW0036,Aaryahi Zachariah,6460056961,12-06-2024,,Pune,Hybrid,20,5352,BITS Pilani,M.Tech,lakshayraju@lala-chacko.com,Axis,Ludhiana,Aaryahi Zachariah,60936135876,Current,AXIS8757772,289492369,"77, Saran Circle, Avadi 715815",aaryahi3412@upi,1,0,0,1,0,0,1,1,1,04-04-2025,No,2025,Finance,Trainee
HW0037,Ivan Amble,6609830029,23-06-2024,10-09-2024,Hyderabad,Hybrid,20,22576,BITS Pilani,MCA,yuvraj-60@gmail.com,HDFC,Haridwar,Ivan Amble,16848425058,Savings,HDFC4010141,685071667,"876, Shetty Chowk, Sultan Pur Majra 734171",ivan1380@upi,0,0,0,0,1,0,0,0,0,05-02-2025,No,2023,HR,Intern
HW0038,Keya Sandhu,6917638526,21-04-2025,29-06-2025,Mumbai,Onsite,40,12721,Anna University,MBA,sdada@yahoo.com,Axis,Berhampore,Keya Sandhu,18509634265,Current,AXIS5568764,249704833,"03/207, Kadakia, Madhyamgram 920341",keya1415@upi,0,0,0,1,0,0,1,0,1,10-02-2025,Yes,2023,Marketing,Intern
HW0039,Parinaaz Apte,6366769160,11-06-2024,,Bangalore,Hybrid,40,17972,Anna University,B.Sc,sraju@atwal-dhawan.net,Bank of Baroda,Madanapalle,Parinaaz Apte,74195563712,Savings,BANK1215041,771036152,"053, De Zila, Jaunpur 418879",parinaaz7823@upi,1,1,0,1,1,1,0,0,1,05-02-2025,Yes,2023,Data Science,Analyst
HW0040,Ivana Kalita,9991910422,01-10-2024,,Hyderabad,Hybrid,30,7500,Mumbai University,MBA,ydube@saha.com,HDFC,Jaunpur,Ivana Kalita,68774128321,Current,HDFC3426875,422995077,"H.No. 772, Andra, Madhyamgram-517494",ivana5755@upi,1,1,0,0,0,1,0,0,1,28-05-2025,Yes,2025,Finance,Trainee
HW0041,Baiju Gopal,9105289152,20-09-2024,,Chennai,Hybrid,40,14219,Anna University,MCA,orajagopal@hotmail.com,ICICI,Shimoga,Baiju Gopal,70904303771,Current,ICIC2418148,811344161,"85, Tata Zila, Karawal Nagar 619619",baiju2507@upi,1,0,1,0,0,0,0,1,1,12-05-2025,No,2025,Finance,Associate
HW0042,Drishya Buch,9672798477,17-05-2025,,Bangalore,Onsite,40,15287,BITS Pilani,M.Tech,rattanaaryahi@chanda.com,Axis,Mumbai,Drishya Buch,42674382971,Current,AXIS9414988,387115016,"H.No. 535, Sheth Nagar, Satna 270758",drishya9434@upi,0,1,0,1,0,0,0,0,0,28-05-2025,Yes,2023,Marketing,Analyst
HW0043,Indrans Chacko,6830969663,07-03-2025,,Chennai,Hybrid,30,9215,NIT Trichy,MBA,sacharkaira@hotmail.com,Kotak Mahindra,Deoghar,Indrans Chacko,29958190179,Current,KOTA7580361,418210382,"H.No. 56, Maharaj Chowk, Katni-287861",indrans6697@upi,1,0,0,0,1,1,0,0,0,16-04-2025,No,2025,Marketing,Trainee
HW0044,Kimaya Wagle,9629703152,18-12-2024,12-02-2025,Chennai,Onsite,30,16900,BITS Pilani,B.Tech,zeeshanlanka@hotmail.com,Kotak Mahindra,Saharsa,Kimaya Wagle,48632570448,Savings,KOTA6193653,524012468,"H.No. 815, Kara Street, Bihar Sharif-722095",kimaya6595@upi,0,0,0,0,1,1,1,0,1,08-03-2025,No,2025,Development,Intern
HW0045,Jiya Kala,7367624319,06-08-2024,,Mumbai,Remote,20,17715,BITS Pilani,M.Tech,gbedi@yahoo.com,Axis,Bhavnagar,Jiya Kala,19254998080,Savings,AXIS4704451,7504100,"H.No. 452, Sarin Path, Gurgaon-587851",jiya4030@upi,0,1,1,1,0,0,1,1,1,04-06-2025,Yes,2025,Design,Analyst
HW0046,Romil Maharaj,6910074151,29-07-2024,25-09-2024,Pune,Hybrid,40,15730,BITS Pilani,B.Tech,wablejivika@kar.info,Kotak Mahindra,Nadiad,Romil Maharaj,85448589965,Savings,KOTA1506745,87279077,"46/915, Hora Nagar, Motihari-423601",romil2815@upi,0,1,0,0,0,0,0,1,0,01-03-2025,Yes,2023,Design,Intern
HW0047,Romil Sarraf,8863922968,12-10-2024,,Delhi,Onsite,30,14509,Mumbai University,MCA,anikadesai@sankar.com,Bank of Baroda,Mysore,Romil Sarraf,99948752449,Savings,BANK4145470,334538130,"81/42, Dutt Zila, Siliguri 821784",romil6272@upi,0,0,0,0,1,1,1,1,1,21-02-2025,Yes,2024,HR,Analyst
HW0048,Piya Zachariah,8225014934,28-12-2024,,Chennai,Hybrid,20,20541,Mumbai University,B.Tech,chiragbalan@shukla.com,Bank of Baroda,Kanpur,Piya Zachariah,98810433023,Current,BANK6475218,401387701,"84/53, Ahuja Marg, Gulbarga-987059",piya8606@upi,0,1,1,0,1,1,0,0,1,17-03-2025,Yes,2024,Finance,Trainee
HW0049,Azad Boase,9373631301,26-12-2024,05-02-2025,Delhi,Onsite,30,22613,NIT Trichy,MBA,qkrishnamurthy@chokshi-sanghvi.info,Kotak Mahindra,Guntur,Azad Boase,34347014544,Current,KOTA4428480,554592064,"14/07, Virk Nagar, Bulandshahr-690827",azad6711@upi,1,1,0,0,1,0,1,1,0,11-02-2025,No,2025,Finance,Intern
HW0050,Samaira Bhat,7031259831,22-05-2025,,Hyderabad,Hybrid,20,6696,BITS Pilani,MCA,ebalan@yahoo.com,HDFC,Ludhiana,Samaira Bhat,29089989789,Savings,HDFC1055286,551272485,"H.No. 31, Korpal Zila, Nellore-433008",samaira6959@upi,1,1,0,0,1,0,1,1,1,01-03-2025,Yes,2025,Marketing,Associate
